100,from,to,weight
0,71,30,16.73
1,17,94,4.34
2,88,8,9.31
3,44,32,17.83
4,11,81,12.87
5,60,56,3.55
6,72,16,14.81
7,74,2,5.0
8,68,20,8.29
9,67,90,4.09
10,83,26,9.79
11,71,87,8.27
12,1,96,8.27
13,16,8,3.89
14,54,42,0.2
15,98,91,2.26
16,26,6,4.49
17,18,97,9.14
18,29,40,3.63
19,90,69,0.64
20,60,10,9.85
21,96,92,12.43
22,22,54,0.93
23,47,30,19.19
24,29,39,16.32
25,11,91,14.37
26,26,38,1.48
27,71,50,2.59
28,97,93,4.9
29,70,39,17.32
30,80,82,4.89
31,97,98,19.66
32,67,62,3.68
33,72,36,4.05
34,92,76,12.81
35,18,54,6.89
36,6,49,5.41
37,4,98,11.34
38,16,24,10.24
39,29,96,6.12
40,53,14,13.53
41,72,1,5.67
42,18,19,4.53
43,74,95,5.8
44,70,89,11.89
45,58,66,8.29
46,45,20,8.84
47,73,41,9.43
48,71,11,5.66
49,28,45,9.05
50,82,92,8.29
51,82,72,9.99
52,71,41,11.44
53,60,67,12.69
54,7,49,27.86
55,22,74,19.97
56,61,52,18.22
57,55,58,18.94
58,65,5,9.34
59,41,61,6.01
60,67,79,13.9
61,70,12,5.7
62,22,18,9.26
63,33,53,7.94
64,9,70,14.22
65,54,18,6.95
66,81,27,0.22
67,52,17,11.35
68,11,31,8.02
69,1,64,14.06
70,49,10,2.9
71,82,22,7.93
72,8,97,7.34
73,9,70,8.24
74,77,54,7.88
75,22,88,1.6
76,89,15,6.55
77,96,69,8.67
78,43,16,1.98
79,97,13,5.55
80,13,57,0.0
81,42,59,3.29
82,7,56,2.23
83,82,2,2.13
84,23,73,7.29
85,36,79,1.81
86,19,3,5.15
87,57,46,2.27
88,73,24,0.7
89,60,47,13.12
90,49,32,3.07
91,35,15,13.73
92,19,82,12.0
93,45,74,14.58
94,43,0,9.24
95,68,35,0.36
96,77,75,1.72
97,3,23,0.16
98,29,53,10.69
99,20,64,2.6
100,62,47,1.85
101,1,35,3.79
102,4,84,8.72
103,28,88,0.61
104,89,24,9.73
105,81,22,6.92
106,38,85,8.52
107,7,66,3.35
108,99,63,10.02
109,6,44,11.37
110,96,0,4.73
111,53,12,9.52
112,59,21,4.33
113,45,97,16.12
114,17,44,13.14
115,93,67,2.24
116,34,75,23.2
117,20,46,8.7
118,86,59,0.35
119,4,38,0.44
