,from,to,weight
0,24,99,-16.66
1,13,48,7.52
2,58,53,-0.37
3,83,86,-1.1
4,7,19,-2.1
5,24,67,17.54
6,88,84,-7.71
7,76,80,1.56
8,19,34,-6.8
9,9,64,-16.57
10,73,5,0.43
11,57,41,-22.46
12,92,60,2.47
13,51,56,-4.24
14,99,31,0.64
15,54,37,14.12
16,18,17,0.71
17,46,45,-0.67
18,25,78,9.36
19,58,62,4.46
20,23,85,-21.02
21,56,59,-5.09
22,62,6,-8.89
23,89,66,16.19
24,62,14,-9.75
25,87,6,-16.07
26,46,32,-5.33
27,67,51,9.51
28,13,50,-6.0
29,74,95,-6.54
30,84,63,-12.11
31,47,85,19.06
32,94,55,-9.31
33,76,69,0.1
34,46,5,9.76
35,33,28,-3.34
36,90,14,-0.71
37,57,23,13.81
38,51,61,-4.01
39,35,70,-11.85
40,8,3,8.6
41,47,20,1.02
42,75,80,-0.01
43,43,26,4.78
44,13,2,1.47
45,14,28,-5.38
46,35,72,19.76
47,84,13,3.52
48,45,66,6.86
49,1,97,-10.3
50,27,54,1.48
51,97,52,-6.64
52,3,62,10.02
53,26,91,-21.1
54,8,54,0.77
55,54,43,-4.53
56,16,44,18.17
57,6,26,-25.52
58,1,35,6.98
59,8,67,10.74
60,37,49,-8.85
61,91,38,9.04
62,20,87,-2.39
63,0,90,0.99
64,83,0,8.92
65,94,98,11.1
66,89,20,-1.8
67,89,46,12.96
68,23,80,0.97
69,9,58,16.45
70,43,39,18.6
71,26,58,3.18
72,65,29,-6.62
73,74,7,18.51
74,6,32,0.33
75,16,51,-6.93
76,83,75,-9.84
77,71,52,4.98
78,69,37,-14.32
79,84,24,1.38
80,96,90,-0.5
81,97,92,-2.22
82,75,66,5.24
83,8,36,5.11
84,71,57,17.21
85,31,57,11.26
86,43,65,0.82
87,97,23,6.71
88,59,25,3.39
89,21,75,15.99
90,1,77,5.31
91,85,39,-1.84
92,74,61,-7.29
93,82,11,12.5
94,30,75,-20.89
95,11,79,-2.95
96,21,17,12.55
97,43,25,15.25
98,56,18,1.24
99,84,72,-2.58
100,60,19,18.47
101,18,97,18.29
102,64,48,-5.34
103,67,0,11.15
104,35,61,5.33
105,70,20,-2.58
106,27,60,-2.2
107,30,33,10.54
108,57,64,13.86
109,39,59,-8.71
110,89,24,4.29
111,87,55,-25.29
112,20,60,6.01
113,92,83,-10.93
114,59,6,6.91
115,88,49,6.09
116,66,99,5.07
117,74,16,11.49
118,18,76,13.0
119,37,64,-7.46
120,54,68,-12.83
121,47,60,8.66
122,7,76,-0.45
123,26,1,-8.44
124,67,71,0.78
125,74,53,-4.43
126,71,81,-1.44
127,83,52,0.89
128,79,31,9.81
129,47,91,-19.95
130,83,22,17.24
131,16,5,16.85
132,58,96,-6.37
133,67,47,2.5
134,11,4,-15.8
135,65,73,26.77
136,8,34,3.1
137,62,10,0.37
138,73,74,-10.09
139,23,65,14.14
140,82,59,-3.29
141,55,72,3.0
142,56,93,2.59
143,90,6,-22.32
144,84,56,-4.18
145,7,46,7.2
146,94,4,3.47
147,34,67,8.47
148,6,43,-7.98
149,9,38,20.56
150,5,40,9.29
151,27,54,-1.82
152,59,15,-3.4
153,60,7,-2.83
154,24,76,-2.83
155,35,34,7.13
156,37,82,-0.02
157,69,91,17.36
158,30,26,15.12
159,83,51,-4.45
160,88,38,1.52
161,16,49,8.91
162,34,98,-18.58
163,58,29,-1.61
164,21,27,3.11
165,20,17,9.56
166,93,81,0.97
167,36,94,-3.8
168,0,24,13.38
169,85,45,5.92
170,70,94,-0.41
171,34,26,9.2
172,67,56,4.19
173,10,73,-17.81
174,3,69,-24.18
175,89,44,-4.2
176,20,14,-0.42
177,16,1,-3.35
178,28,70,-6.56
179,63,85,-2.49
180,56,27,2.31
181,44,21,-2.46
182,47,89,5.02
183,43,7,6.69
184,70,71,-18.88
185,69,27,2.73
186,64,90,3.71
187,55,77,-1.68
188,43,12,-2.41
189,19,49,14.91
190,74,42,-3.01
191,90,80,8.4
192,46,78,12.07
193,55,68,15.44
194,63,46,-7.03
195,3,65,-2.22
196,30,21,14.27
197,82,87,-9.29
198,76,30,-9.95
199,46,15,1.03
